Date,Time,ID,Fish,Length,Camera,Tide,Tide_Height,TAST,Salmon5day,Salmon3day
10/13/20,15:09,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:10,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:16,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:16,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:18,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:21,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:23,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:29,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:30,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:31,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:35,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:36,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:38,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:38,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:40,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:41,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:42,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:43,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:44,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:46,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:46,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:49,9,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:52,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:52,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,15:58,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:00,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:01,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:02,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:05,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:05,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:06,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:08,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:13,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:14,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:16,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:17,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:20,163,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:22,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:25,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:26,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:28,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:36,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:39,12,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:44,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:49,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:51,115,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:54,173,,90,2,HH,8.3,OFF,N/A,N/A
10/13/20,16:55,173,,90,2,HH,8.3,OFF,N/A,N/A
10/15/20,16:18,12,,120,2,HH,8.6,OFF,N/A,N/A
10/15/20,16:51,115,,120,2,HH,8.6,OFF,N/A,N/A
10/15/20,16:52,115,,120,2,HH,8.6,OFF,N/A,N/A
10/15/20,17:00,115,,120,2,HH,8.6,OFF,N/A,N/A
10/15/20,17:01,115,,120,2,HH,8.6,OFF,N/A,N/A
10/16/20,16:37,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:39,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:40,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:43,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:52,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:55,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:56,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,16:59,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:00,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:02,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:06,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:07,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:11,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:14,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:15,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:16,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:17,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:17,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:24,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:26,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:27,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:28,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:31,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:32,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:33,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:37,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:41,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:46,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:48,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:50,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:52,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:53,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:57,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:57,85,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,17:58,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:00,85,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:02,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:05,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:06,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:07,85,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:09,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:11,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:11,85,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:12,12,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:13,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:15,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:18,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:20,14,,120,1,HH,8.7,OFF,N/A,N/A
10/16/20,18:21,14,,120,1,HH,8.7,OFF,N/A,N/A
10/18/20,13:32,83,,120,2,HL,3.8,OFF,N/A,N/A
10/20/20,13:52,85,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,13:54,85,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:20,12,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:21,12,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:23,12,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:43,85,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:44,85,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:46,85,,120,2,HL,5.6,OFF,N/A,N/A
10/20/20,14:47,85,,120,2,HL,5.6,OFF,N/A,N/A
10/23/20,12:16,14,,90,1,HH,8.7,OFF,N/A,N/A
10/23/20,12:19,14,,90,1,HH,8.7,OFF,N/A,N/A
10/23/20,12:27,85,,90,1,HH,8.7,OFF,N/A,N/A
10/23/20,12:31,85,,90,1,HH,8.7,OFF,N/A,N/A
10/23/20,13:28,85,,90,1,HH,8.7,OFF,N/A,N/A
10/24/20,13:09,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:10,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:12,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:14,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:14,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:21,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:26,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:29,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:37,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:42,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:42,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:45,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:45,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:47,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:48,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:51,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:55,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,13:56,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:01,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:01,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:02,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:03,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:07,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:09,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:10,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:12,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:12,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:15,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:16,173,Y,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:17,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:18,83,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:18,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:33,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:37,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:38,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:43,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:53,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:54,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:54,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:55,173,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:58,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,14:59,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,15:00,39,,120,2,HH,8.7,OFF,N/A,N/A
10/24/20,15:04,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,13:53,12,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:00,12,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:01,12,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:02,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:05,12,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:05,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:07,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:08,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:19,137,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:20,137,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:21,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:24,163,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:53,137,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:54,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:54,137,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:57,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,14:59,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:00,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:04,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:05,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:06,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:07,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:10,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:11,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:12,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:12,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:13,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:14,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:16,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:17,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:19,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:20,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:21,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:21,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:24,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:25,198,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:26,39,,120,2,HH,8.7,OFF,N/A,N/A
10/25/20,15:27,198,,120,2,HH,8.7,OFF,N/A,N/A
